0,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">01:08</div>"," 01:08 Евроинтеграция венгров Украины должна происходить через совместное движение в ЕС – Климкин Глава МИД Украины Павел Климкин подчеркнул, что Украина создает все возможности для самореализации венгров. ",/rus/news/2017/10/13/7158193/,"<div class=""article__subtitle"">Глава МИД Украины Павел Климкин подчеркнул, что Украина создает все возможности для самореализации венгров.</div>","<div class=""article__subtitle"">Глава МИД Украины Павел Климкин подчеркнул, что Украина создает все возможности для самореализации венгров.</div>"
1,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">00:14</div>"," 00:14 Трамп приказал ослабить действие Obamacare Президент США в четверг подписал указ об уменьшении влияния программы Obamacare. ",/rus/news/2017/10/13/7158192/,"<div class=""article__subtitle"">Президент США в четверг подписал указ об уменьшении влияния программы Obamacare.</div>","<div class=""article__subtitle"">Президент США в четверг подписал указ об уменьшении влияния программы Obamacare.</div>"
2,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">23:50</div>"," 23:50 Главу департамента МО тоже отправили под домашний арест Соломенский суд Киева избрал меру пресечения директору Департамента госзакупок и материального обеспечения Минобороны Владимиру Гулевичу в виде круглосуточного домашнего ареста. ",/rus/news/2017/10/12/7158191/,"<div class=""article__subtitle"">Соломенский суд Киева избрал меру пресечения директору Департамента госзакупок и материального обеспечения Минобороны Владимиру Гулевичу в виде круглосуточного домашнего ареста.</div>","<div class=""article__subtitle"">Соломенский суд Киева избрал меру пресечения директору Департамента госзакупок и материального обеспечения Минобороны Владимиру Гулевичу в виде круглосуточного домашнего ареста.</div>"
3,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">23:21</div>"," 23:21 Главные экономические новости дня - за 60 секунд О газе. За 9 месяцев ""Нафтогаз"" закупил 17,5 миллиарда кубометров газа, что на 3,1 миллиарда кубов больше, чем за 9 месяцев прошлого года. ",http://www.epravda.com.ua/rus/news/2017/10/12/630057/,"<div class=""article__subtitle"">О газе. За 9 месяцев ""Нафтогаз"" закупил 17,5 миллиарда кубометров газа, что на 3,1 миллиарда кубов больше, чем за 9 месяцев прошлого года.</div>","<div class=""article__subtitle"">О газе. За 9 месяцев ""Нафтогаз"" закупил 17,5 миллиарда кубометров газа, что на 3,1 миллиарда кубов больше, чем за 9 месяцев прошлого года.</div>"
4,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">22:57</div>"," 22:57 фото, видеоЭкс-супруга судьи Емельянова владеет элитной недвижимостью и путешествует с бывшим Бывшая жена судьи Высшего хозсуда Артура Емельянова Светлана владеет многочисленной элитной недвижимостью в разных уголках мира. ",/rus/news/2017/10/12/7158189/,"<div class=""article__subtitle"">Бывшая жена судьи Высшего хозсуда Артура Емельянова Светлана владеет многочисленной элитной недвижимостью в разных уголках мира.</div>","<div class=""article__subtitle"">Бывшая жена судьи Высшего хозсуда Артура Емельянова Светлана владеет многочисленной элитной недвижимостью в разных уголках мира.</div>"
5,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">22:28</div>"," 22:28 Официальный курс гривни существенно снизился Национальный банк установил официальный курс гривни к доллару на 13 октября на уровне 26,63 гривни, таким образом украинская валюта снизилась на 10 копеек. ",http://www.epravda.com.ua/rus/news/2017/10/12/630064/,"<div class=""article__subtitle"">Национальный банк установил официальный курс гривни к доллару на 13 октября на уровне 26,63 гривни, таким образом украинская валюта снизилась на 10 копеек.</div>","<div class=""article__subtitle"">Национальный банк установил официальный курс гривни к доллару на 13 октября на уровне 26,63 гривни, таким образом украинская валюта снизилась на 10 копеек.</div>"
6,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">21:57</div>"," 21:57 фотоЧорновол хочет взять на поруки подозреваемого в коррупции чиновника Минобороны Нардеп ""Народного фронта"" Татьяна Чорновол пришла в суд, чтобы взять на поруки подозреваемого в коррупции директора департамента госзакупок Минобороны Владимира Гулевича. ",/rus/news/2017/10/12/7158187/,"<div class=""article__subtitle"">Нардеп ""Народного фронта"" Татьяна Чорновол пришла в суд, чтобы взять на поруки подозреваемого в коррупции директора департамента госзакупок Минобороны Владимира Гулевича.</div>","<div class=""article__subtitle"">Нардеп ""Народного фронта"" Татьяна Чорновол пришла в суд, чтобы взять на поруки подозреваемого в коррупции директора департамента госзакупок Минобороны Владимира Гулевича.</div>"
7,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">21:41</div>"," 21:41 Главные новости дня – за 60 секунд Решение ПАСЕ по закону об образовании, коррупция в Минобороны, ""Трейд Коммодити"", АТО, кибератаки, Каталония - новости, которые обсуждали 12 октября. ",/rus/news/2017/10/12/7158186/,"<div class=""article__subtitle"">Решение ПАСЕ по закону об образовании, коррупция в Минобороны, ""Трейд Коммодити"", АТО, кибератаки, Каталония - новости, которые обсуждали 12 октября.</div>","<div class=""article__subtitle"">Решение ПАСЕ по закону об образовании, коррупция в Минобороны, ""Трейд Коммодити"", АТО, кибератаки, Каталония - новости, которые обсуждали 12 октября.</div>"
8,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">20:56</div>"," 20:56 После отмены концертов Бабкин признал Россию агрессором Украинский музыкант Сергей Бабкин публично признал российское правительство агрессором. ",http://life.pravda.com.ua/culture/2017/10/12/226954/,"<div class=""article__subtitle"">Украинский музыкант Сергей Бабкин публично признал российское правительство агрессором.</div>","<div class=""article__subtitle"">Украинский музыкант Сергей Бабкин публично признал российское правительство агрессором.</div>"
9,"Friday 13th of October 2017 12:28:48 AM","<div class=""article__time"">20:32</div>"," 20:32 Антимонопольный комитет взялся за рынок сжиженного газа Антимонопольный комитет Украины осуществляет сбор и анализ доказательств в деле по признакам антиконкурентных согласованных действий на рынке сжиженного газа. ",http://www.epravda.com.ua/rus/news/2017/10/12/630062/,"<div class=""article__subtitle"">Антимонопольный комитет Украины осуществляет сбор и анализ доказательств в деле по признакам антиконкурентных согласованных действий на рынке сжиженного газа.</div>","<div class=""article__subtitle"">Антимонопольный комитет Украины осуществляет сбор и анализ доказательств в деле по признакам антиконкурентных согласованных действий на рынке сжиженного газа.</div>"
