1,"14th October 2017 05:41:42 PM",18:21,"Меркель хочет обсудить отношения Брюсселя и Анкары на саммите ЕС",http://www.eurointegration.com.ua/rus/news/2017/10/14/7072343/,"Канцлер Германии Ангела Меркель поднимет тему отношений Брюсселя и Анкары на саммите Евросоюза 19-20 октября, но пока не ожидает решения по поводу возможного прекращения переговоров о вступлении Турции в ЕС.",
2,"14th October 2017 05:41:42 PM",18:18,"<em>фото, видео </em>Шествие националистов: Идут Майданом, зажгли факелы и фаеры",/rus/news/2017/10/14/7158393/,"Шествие националистов ко Дню защитника Украины двинулось по центральным улицам Киева к Контрактовой площади. Фото, видео",
