13,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">17:33</div>",," 17:33 США объявили о выходе из ЮНЕСКО Соединенные Штаты объявили о своем решении выйти из ЮНЕСКО, Организации Объединенных Наций по вопросам образования, науки и культуры. ","<div class=""article__subtitle"">Соединенные Штаты объявили о своем решении выйти из ЮНЕСКО, Организации Объединенных Наций по вопросам образования, науки и культуры.</div>"
14,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">17:29</div>",," 17:29 По решению ЕСПЧ Киев прекратит выплату возмещений тысячам заявителей Решение Европейского суда по правам человека о передаче в Комитет министров всех жалоб на невыполнение решений украинских судов, вероятнее всего, приведет к тому, что заявители не получат стандартной для ЕСПЧ компенсации морального ущерба. ","<div class=""article__subtitle"">Решение Европейского суда по правам человека о передаче в Комитет министров всех жалоб на невыполнение решений украинских судов, вероятнее всего, приведет к тому, что заявители не получат стандартной для ЕСПЧ компенсации морального ущерба.</div>"
15,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">17:28</div>",," 17:28 Нацкомиссия снизила тарифы ""Киевэнерго"" на горячую воду и отопление Национальная комиссия, осуществляющая регулирование в сферах энергетики и коммунальных услуг, снизила тариф энергогенерирующей компании ""Киевэнерго"" на централизованное горячее водоснабжение для населения на 4,5% и на 2% снизила тариф на отопление. ","<div class=""article__subtitle"">Национальная комиссия, осуществляющая регулирование в сферах энергетики и коммунальных услуг, снизила тариф энергогенерирующей компании ""Киевэнерго"" на централизованное горячее водоснабжение для населения на 4,5% и на 2% снизила тариф на отопление.</div>"
16,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">17:25</div>",," 17:25 СБУ говорит, что вызывает ""Хмурого"" не из-за сбитого Боинга-777 Главное следственное управление СБУ вызвало ряд граждан Украины и России для вручения подозрения и допроса, но не в рамках расследования уничтожения пассажирского самолета ""Боинг-777"" МН-17 над Донбассом в 2014 году. ","<div class=""article__subtitle"">Главное следственное управление СБУ вызвало ряд граждан Украины и России для вручения подозрения и допроса, но не в рамках расследования уничтожения пассажирского самолета ""Боинг-777"" МН-17 над Донбассом в 2014 году.</div>"
17,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">17:04</div>",," 17:04 Украина убедила Турцию закрыть порты для судов из Крыма – ГПУ После визита генпрокурора Юрия Луценко в Турцию, эта страна запретила судам из Крыма заходить в турецкие порты. ","<div class=""article__subtitle"">После визита генпрокурора Юрия Луценко в Турцию, эта страна запретила судам из Крыма заходить в турецкие порты.</div>"
18,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">16:42</div>",," 16:42 Дело ""Трейд Коммодити"": Павловский отрицает причастность к растрате Заместитель министр обороны Игорь Павловский, подозреваемый в растрате 149 млн гривен при закупке топлива у фирмы ""Трейд Коммодити"" отрицает причастность к этой процедуре. ","<div class=""article__subtitle"">Заместитель министр обороны Игорь Павловский, подозреваемый в растрате 149 млн гривен при закупке топлива у фирмы ""Трейд Коммодити"" отрицает причастность к этой процедуре.</div>"
19,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">16:32</div>",," 16:32 Генпрокуратура провела обыски в Комиссии по ценным бумагам Генеральная прокуратура провела обыски в Национальной комиссии по ценным бумагам и фондовому рынку. ","<div class=""article__subtitle"">Генеральная прокуратура провела обыски в Национальной комиссии по ценным бумагам и фондовому рынку.</div>"
20,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">16:14</div>",," 16:14 Сын Луценко в августе купил квартиру 8 сентября на него зарегистрировали 183,7 кв м в новом жилом комплексе в Соломенском районе Киева. ","<div class=""article__subtitle"">8 сентября на него зарегистрировали 183,7 кв м в новом жилом комплексе в Соломенском районе Киева.</div>"
21,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">16:07</div>",," 16:07 Сенат Чехии: Земан в ПАСЕ легитимизировал агрессию России против Украины Чешский Сенат - верхняя палата парламента - одобрил постановление, в котором заявил, что своими словами о Крыме президент Чехии Милош Земан легитимизировал российскую агрессию против Украины. ","<div class=""article__subtitle"">Чешский Сенат - верхняя палата парламента - одобрил постановление, в котором заявил, что своими словами о Крыме президент Чехии Милош Земан легитимизировал российскую агрессию против Украины.</div>"
22,"Thursday 12th of October 2017 09:26:57 PM","<div class=""article__time"">16:07</div>",," 16:07 Задержан еще один подозреваемый по ""делу Онищенко"" Детективы Национального антикоррупционного бюро 12 октября задержали очередного подозреваемого в хищении природного газа по схеме, в организации которой подозревают народного депутата Александра Онищенко. ","<div class=""article__subtitle"">Детективы Национального антикоррупционного бюро 12 октября задержали очередного подозреваемого в хищении природного газа по схеме, в организации которой подозревают народного депутата Александра Онищенко.</div>"
